game_id,game_date,season,home_team,away_team,home_starter,away_starter,home_score,away_score,home_won,home_ml,away_ml,open_home_ml,open_away_ml,total_line,open_total,spread,true_home_prob,true_away_prob,ml_move_home,total_move,sharp_home,sharp_away,park_factor,home_win_rate_l10,away_win_rate_l10,win_rate_diff,home_run_diff_l10,away_run_diff_l10,run_diff_diff,home_sp_xfip,away_sp_xfip,xfip_diff,home_sp_era,away_sp_era,home_sp_k_pct,away_sp_k_pct,home_wrc_plus,away_wrc_plus,wrc_diff,home_obp,away_obp
634642,2021-04-01,2021,New York Yankees,Toronto Blue Jays,Gerrit Cole,Hyun Jin Ryu,2,3,0,-185,170,-165.0,149.0,8.0,8.0,-1.5,0.6367,0.3633,-20.0,0.0,0,0,1.12,,,,,,,,,,,,,,,,,,
634630,2021-04-01,2021,Kansas City Royals,Texas Rangers,Brad Keller,Kyle Gibson,14,10,1,-150,140,-165.0,149.0,8.5,9.5,-1.5,0.5902,0.4098,15.0,-1.0,1,0,1.01,,,,,,,,,,,,,,,,,,
634636,2021-04-01,2021,Cincinnati Reds,St. Louis Cardinals,Luis Castillo,Jack Flaherty,6,11,0,-122,112,-115.0,105.0,7.0,7.5,-1.5,0.5381,0.4619,-7.0,-0.5,0,0,1.18,,,,,,,,,,,,,,,,,,
634618,2021-04-01,2021,San Diego Padres,Arizona Diamondbacks,Yu Darvish,Madison Bumgarner,8,7,1,-230,205,-210.0,188.0,8.5,8.0,-1.5,0.6801,0.3199,-20.0,0.5,0,0,0.9,,,,,,,,,,,,,,,,,,
634652,2021-04-01,2021,Miami Marlins,Tampa Bay Rays,Sandy Alcantara,Tyler Glasnow,0,1,0,140,-150,126.0,-140.0,7.0,8.0,1.5,0.4098,0.5902,14.0,-1.0,0,0,0.88,,,,,,,,,,,,,,,,,,
634622,2021-04-01,2021,Philadelphia Phillies,Atlanta Braves,Aaron Nola,Max Fried,3,2,1,-127,117,-105.0,-105.0,7.5,7.5,-1.5,0.5483,0.4517,-22.0,0.0,0,0,1.07,,,,,,,,,,,,,,,,,,
634634,2021-04-01,2021,Chicago Cubs,Pittsburgh Pirates,Kyle Hendricks,Chad Kuhl,3,5,0,-210,190,-205.0,183.0,6.5,7.0,-1.5,0.6627,0.3373,-5.0,-0.5,0,0,1.06,,,,,,,,,,,,,,,,,,
634638,2021-04-01,2021,Milwaukee Brewers,Minnesota Twins,Brandon Woodruff,Kenta Maeda,6,5,1,-109,-101,-105.0,-105.0,7.5,8.0,-1.5,0.5093,0.4907,-4.0,-0.5,0,0,1.03,,,,,,,,,,,,,,,,,,
634615,2021-04-01,2021,Colorado Rockies,Los Angeles Dodgers,Germán Márquez,Clayton Kershaw,8,5,1,195,-215,188.0,-210.0,10.5,11.5,1.5,0.3318,0.6682,7.0,-1.0,0,0,1.38,,,,,,,,,,,,,,,,,,
634655,2021-04-02,2021,Los Angeles Angels,Chicago White Sox,Dylan Bundy,Lucas Giolito,4,3,1,-119,109,109.0,-119.0,8.5,8.5,-1.5,0.5318,0.4682,-228.0,0.0,0,0,0.94,,,,,,,,,,,,,,,,,,
634640,2021-04-02,2021,Oakland Athletics,Houston Astros,Chris Bassitt,Zack Greinke,1,8,0,-124,114,-135.0,115.0,8.5,8.5,-1.5,0.5423,0.4577,11.0,0.0,1,0,0.9,,,,,,,,,,,,,,,,,,
634602,2021-04-02,2021,Miami Marlins,Tampa Bay Rays,Pablo López,Ryan Yarbrough,4,6,0,-109,-101,120.0,-140.0,7.5,7.5,-1.5,0.5093,0.4907,-229.0,0.0,0,1,0.88,0.0,1.0,-1.0,-1.0,1.0,-2.0,,,,,,,,,,,,
634580,2021-04-03,2021,Philadelphia Phillies,Atlanta Braves,Zack Wheeler,Charlie Morton,4,0,1,102,-112,-120.0,100.0,7.5,8.5,1.5,0.4838,0.5162,222.0,-1.0,0,0,1.07,1.0,0.0,1.0,1.0,-1.0,2.0,,,,,,,,,,,,
634575,2021-04-03,2021,Milwaukee Brewers,Minnesota Twins,Corbin Burnes,José Berríos,0,2,0,-130,120,-115.0,-105.0,7.5,8.0,-1.5,0.5543,0.4457,-15.0,-0.5,0,0,1.03,1.0,0.0,1.0,1.0,-1.0,2.0,,,,,,,,,,,,
634596,2021-04-03,2021,Miami Marlins,Tampa Bay Rays,Elieser Hernández,Rich Hill,12,7,1,-104,-106,105.0,-125.0,7.5,8.0,1.5,0.4977,0.5023,-209.0,-0.5,0,1,0.88,0.0,1.0,-1.0,-1.5,1.5,-3.0,,,,,,,,,,,,
